"Data.Column1,Bone v Brain.xlsx,Bone v Breast.xlsx,Bone v Liver.xlsx,Bone v Lung.xlsx,Bone v Lymph node.xlsx,Bone v Muscle.xlsx,Bone v Ovary.xlsx,Bone v Peritoneum.xlsx,Bone v Pleura.xlsx,Bone v Skin.xlsx,Brain v Breast.xlsx,Brain v Liver.xlsx,Brain v Lung.xlsx,Brain v Lymph Node.xlsx,Brain v Muscle.xlsx,Brain v Ovary.xlsx,Brain v Peritoneum.xlsx,Brain v Pleura.xlsx,Brain v Skin.xlsx,Breast v Liver.xlsx,Breast v Lung.xlsx,Breast v Lymph Node.xlsx,Breast v Muscle.xlsx,Breast v Ovary.xlsx,Breast v Peritonuem.xlsx,Breast v Pleura.xlsx,Breast v Skin.xlsx,Liver v Lung.xlsx,Liver v Lymph Node.xlsx,Liver v Muscle.xlsx,Liver v Ovary.xlsx,Liver v Peritoneum.xlsx,Liver v Pleura.xlsx,Liver v Skin.xlsx,Lung v Lymph Node.xlsx,Lung v Muscle.xlsx,Lung v Ovary.xlsx,Lung v Peritoneum.xlsx,Lung v Pleura.xlsx,Lung v Skin.xlsx,Lymph Node v Muscle.xlsx,Lymph Node v Ovary.xlsx,Lymph Node v Peritoneum.xlsx,Lymph Node v Pleura.xlsx,Lymph Node v Skin.xlsx,Muscle v Ovary.xlsx,Muscle v Peritoneum.xlsx,Muscle v Pleura.xlsx,Muscle v Skin.xlsx,Ovary v Peritoneum.xlsx,Ovary v Pleura.xlsx,Ovary v Skin.xlsx,Peritenum v Skin.xlsx,Peritoneum v Pleura.xlsx,Pleura v Skin.xlsx"
"ABCF1,0.072552,0.092192,-0.13634,-0.25727,0.2612655,0.14041,0.20717,-0.49858,-0.0341014,0.085079,0.01964,-0.20889,-0.329822,0.188714,0.06785,0.13462,-0.5711351,-0.106653,0.0125,-0.22853,-0.349462,0.169074,0.04821,0.11498,-0.59078,-0.126293,-0.007112,-0.12093,0.397604,0.276744,0.34351,-0.36225,0.102237,0.22142,0.51854,0.39768,0.46444,-0.241313,0.2231689,0.34235,-0.12086,-0.05409,-0.75985,-0.2953668,-0.176186,0.06677,-0.63899,-0.17451,-0.05533,-0.70576,-0.24127,-0.12209,0.583663,0.464482,0.119181"
"ACTR3B,0.392407,0.300794,-0.30944,0.026816,0.2890594,-0.47044,0.00899,0.16678,0.3164721,0.496528,-0.09161,-0.701845,-0.365591,-0.103348,-0.86285,-0.38342,-0.2256275,-0.075935,0.104,-0.6102323,-0.273978,-0.011735,-0.77123,-0.291808,-0.13401,0.015678,0.195734,0.33625,0.598497,-0.161002,0.31842,0.47622,0.62591,0.80597,0.26224,-0.49726,-0.01783,0.139964,0.2896562,0.46971,-0.7595,-0.28007,-0.12228,0.0274127,0.207469,0.47943,0.63722,0.78691,0.96697,0.15779,0.30749,0.48754,0.329749,0.149693,0.180056"
"ACVR1B,0.293864,0.317445,-0.43218,-0.086529,0.4314033,-0.28097,0.67479,0.73741,0.2739381,0.061959,0.02358,-0.726044,-0.380393,0.137539,-0.57483,0.38093,0.4435468,-0.019926,-0.232,-0.7496243,-0.403973,0.113959,-0.59841,0.357349,0.41997,-0.043506,-0.255485,0.34565,0.863583,0.151213,1.10697,1.16959,0.706118,0.49414,0.51793,-0.19444,0.76132,0.823939,0.3604669,0.14849,-0.71237,0.24339,0.30601,-0.1574652,-0.369444,0.95576,1.01838,0.5549,0.34293,0.06262,-0.40086,-0.61283,-0.675451,-0.463473,-0.211979"
"ACVR1C,-0.041864,-0.252415,0.45215,-0.038783,0.5235451,-1.6253,0.17038,-1.18399,0.5396313,-0.075163,-0.21055,0.494015,0.003081,0.565409,-1.58343,0.21224,-1.1421249,0.581495,-0.0333,0.7045664,0.213632,0.775961,-1.37288,0.422792,-0.93157,0.792047,0.177253,-0.49093,0.071394,-2.077447,-0.28177,-1.63614,0.08748,-0.52731,0.56233,-1.58651,0.20916,-1.145206,0.5784144,-0.03638,-2.14884,-0.35317,-1.70753,0.0160862,-0.598708,1.79567,0.44131,2.16493,1.55013,-1.35437,0.36925,-0.24554,1.108826,1.72362,-0.614794"
"ACVRL1,0.153391,-0.065146,0.23772,-1.064087,-0.1122531,-0.65439,0.20009,-0.36904,-0.0913367,-0.955636,-0.21854,0.084331,-1.217478,-0.265644,-0.80778,0.0467,-0.5224257,-0.244727,-1.11,0.302867,-0.998942,-0.047107,-0.58925,0.265235,-0.30389,-0.026191,-0.89049,-1.30181,-0.349974,-0.892115,-0.03763,-0.60676,-0.329058,-1.19336,0.95183,0.40969,1.26418,0.695052,0.9727507,0.10845,-0.54214,0.31234,-0.25678,0.0209165,-0.843382,0.85448,0.28536,0.56306,-0.30124,-0.56912,-0.29143,-1.15572,-0.5866,0.277699,-0.864299"
"ADAM12,0.313364,-0.994932,1.00916,-0.082093,-0.9954835,-1.30814,-0.07956,-0.55048,0.0793828,-1.092312,-1.3083,0.695791,-0.395458,-1.308848,-1.6215,-0.39293,-0.8638459,-0.233981,-1.41,2.0040876,0.912839,-0.000551,-0.31321,0.915368,0.44445,1.074315,-0.09738,-1.09125,-2.004639,-2.317295,-1.08872,-1.55964,-0.929773,-2.10147,-0.91339,-1.22605,0.00253,-0.468388,0.1614762,-1.01022,-0.31266,0.91592,0.445,1.0748663,-0.096828,1.22858,0.75766,1.38752,0.21583,-0.47092,0.15895,-1.01275,-0.54183,0.629865,-1.171695"
"ADCY9,0.561005,1.078462,-0.17266,0.083677,0.6997508,-0.65822,0.30559,-0.25528,0.3321461,0.966821,0.51746,-0.733664,-0.477328,0.138746,-1.21923,-0.25542,-0.8162884,-0.228858,0.406,-1.2511215,-0.994785,-0.378711,-1.73668,-0.772876,-1.33375,-0.746316,-0.111641,0.25634,0.87241,-0.485563,0.47825,-0.08262,0.504806,1.13948,0.61607,-0.7419,0.22191,-0.338961,0.2484692,0.88314,-1.35797,-0.39417,-0.95503,-0.3676047,0.267071,0.96381,0.40294,0.99037,1.62504,-0.56087,0.02656,0.66124,1.222105,0.58743,0.634675"
"ADD1,0.786803,0.637563,-0.23959,0.306826,0.4926253,-0.59629,-0.21581,0.34985,0.2797877,0.525405,-0.14924,-1.026396,-0.479978,-0.294178,-1.38309,-1.00262,-0.4369494,-0.507016,-0.261,-0.8771554,-0.330737,-0.144938,-1.23385,-0.853375,-0.28771,-0.357775,-0.112158,0.54642,0.732218,-0.356698,0.02378,0.58945,0.51938,0.765,0.1858,-0.90312,-0.52264,0.043028,-0.027038,0.21858,-1.08892,-0.70844,-0.14277,-0.2128376,0.03278,0.38048,0.94614,0.87608,1.12169,0.56567,0.4956,0.74122,0.175551,-0.070066,0.245617"
"ADM,-0.740739,-0.659873,0.10461,-1.47397,-0.1152228,-0.96827,-0.5993,-0.10309,0.6718389,-0.848296,0.08087,0.845348,-0.733231,0.625517,-0.22753,0.14144,0.6376525,1.412578,-0.108,0.7644815,-0.814098,0.54465,-0.30839,0.060573,0.55679,1.331712,-0.188423,-1.57858,-0.219832,-1.072876,-0.70391,-0.2077,0.56723,-0.9529,1.35875,0.5057,0.87467,1.370884,2.1458094,0.62567,-0.85304,-0.48408,0.01214,0.7870618,-0.733073,0.36897,0.86518,1.64011,0.11997,0.49621,1.27114,-0.249,-0.745209,0.774926,-1.520135"
"AGR2,1.887504,1.631773,0.2359,1.16771,1.8023622,-1.68036,0.50719,2.9447,2.2346451,4.172582,-0.25573,-1.651604,-0.719794,-0.085141,-3.56787,-1.38032,1.0571946,0.347142,2.29,-1.3958733,-0.464063,0.17059,-3.31214,-1.124587,1.31293,0.602872,2.540809,0.93181,1.566463,-1.916264,0.27129,2.7088,1.998746,3.93668,0.63465,-2.84807,-0.66052,1.776988,1.0669353,3.00487,-3.48273,-1.29518,1.14234,0.4322829,2.37022,2.18755,4.62506,3.91501,5.85295,2.43751,1.72746,3.6654,1.227884,-0.710053,1.937937"
